ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
110000,0,9.41308e-10,0,0.0
110002,0,1.82367e-9,0,0.0
110005,1,3.58011e-12,80,295.594
110006,1,3.65275e-11,28,52.296
110010,1,1.86788e-12,174,1542.64
110013,1,5.94583e-10,1248,5263.45
110014,1,8.14344e-11,93,265.515
110015,0,8.24981e-12,0,0.0
110016,1,2.70843e-10,710,1991.1
110017,1,3.89142e-12,55,111.293
110018,0,1.51246e-11,0,0.0
110019,0,1.91458e-11,0,0.0
110023,1,1.5436e-11,230,908.035
110028,1,1.73114e-9,346,881.781
110029,1,9.1604e-11,488,2368.89
110030,0,3.24804e-11,0,0.0
110032,1,2.64616e-12,34,89.0197
110034,1,2.59687e-11,805,12204.6
110036,0,8.69862e-11,0,0.0
110042,0,1.46847e-9,0,0.0
110047,1,3.60605e-12,85,163.821
110051,1,5.13667e-12,123,505.601
110052,0,6.1225e-12,0,0.0
110054,0,1.04731e-10,0,0.0
110056,1,1.86067e-9,230,752.906
110059,1,2.3141e-11,109,290.988
110063,1,1.73817e-12,53,132.942
110065,1,3.29473e-12,118,213.032
110069,1,7.93849e-12,119,32609.5
110071,1,6.45976e-12,71,237.64
110072,0,5.98241e-11,0,0.0
110073,1,7.83472e-11,95,618.448
110075,1,3.73576e-12,144,10750.7
110076,1,5.91755e-11,614,4164.37
110077,0,9.14743e-11,0,0.0
110079,1,5.30167e-10,2552,8355.94
110080,1,6.35157e-10,2186,15654.0
110081,0,1.84835e-9,0,0.0
110083,1,4.27771e-10,397,826.816
110086,0,5.26976e-10,0,0.0
110088,0,1.70527e-9,0,0.0
110089,1,6.51424e-11,125,356.943
110091,0,1.47093e-9,0,0.0
110093,0,3.92774e-11,0,0.0
110094,1,2.74994e-12,103,617.292
110095,1,5.45318e-11,952,13295.6
110097,1,4.72496e-10,564,989.325
110100,0,5.45447e-10,0,0.0
110101,1,5.64541e-10,1164,2301.92
110103,1,3.60605e-12,169,1169.99
110104,0,4.15085e-11,0,0.0
110107,0,2.04429e-11,0,0.0
110109,1,1.47181e-9,516,1585.56
110110,1,1.05802e-9,1075,1798.05
110111,1,6.80116e-10,1629,8434.74
110112,1,5.48431e-10,6001,51693.1
110113,1,2.89937e-10,436,1448.75
110114,1,3.89142e-12,1231,5560.53
110116,0,1.31229e-9,0,0.0
110117,1,1.96594e-10,733,3401.77
110118,0,1.29455e-10,0,0.0
110124,1,3.20627e-10,446,1600.58
110125,1,2.98342e-12,128,642.224
110126,1,1.77508e-9,638,1126.32
110127,1,1.19713e-9,409,2333.26
110129,1,9.18375e-12,147,543.8
110130,0,1.28157e-11,0,0.0
110131,1,4.66192e-11,537,7929.0
110132,0,1.31374e-10,0,0.0
110133,1,1.47018e-10,294,795.629
110134,1,7.34181e-12,107,605.381
110135,1,1.01968e-9,1510,6065.1
110136,0,1.19031e-9,0,0.0
110138,1,1.9976e-12,92,238.007
110142,0,1.3628e-9,0,0.0
110146,1,6.06465e-10,431,929.718
110148,1,2.02613e-11,114,235.899
110149,1,1.45695e-10,91,122.679
110150,1,2.13509e-11,346,863.582
110151,1,4.91408e-10,723,2083.49
110154,1,8.31181e-10,1799,12791.0
110155,0,1.86788e-12,0,0.0
110156,1,8.5689e-11,0,0.0
110157,1,1.91717e-11,195,593.28
110158,0,3.18396e-10,0,0.0
110160,1,2.49051e-12,120,670.204
110162,1,6.6468e-10,97,107.938
110163,0,1.1337e-11,0,0.0
110164,1,3.58011e-12,140,487.777
110165,0,2.65395e-10,0,0.0
110166,1,2.10396e-11,174,1680.21
110168,1,7.62433e-10,529,983.517
110169,1,1.87515e-9,192,534.801
110173,0,2.54239e-12,0,0.0
110175,1,1.7047e-9,793,4333.4
110179,1,1.36104e-9,660,2257.57
110180,1,1.38431e-10,919,3066.35
110181,1,7.08238e-12,145,363.124
110184,1,5.14186e-11,601,1529.07
110186,1,5.73906e-10,1179,5401.94
110190,1,1.67474e-9,59,145.821
110191,0,6.38193e-12,0,0.0
110197,1,5.52166e-10,919,2410.06
110198,1,2.38648e-10,761,1137.9
110200,1,1.79005e-12,47,135.591
110201,1,4.09637e-11,176,731.091
110203,0,3.24285e-12,0,0.0
110210,1,8.18236e-11,31,42.1059
110213,1,1.78105e-9,1338,7098.53
110214,1,1.07338e-9,1277,5432.87
110216,1,2.28556e-11,2972,22357.7
110217,1,2.82776e-12,68,273.023
110225,0,2.14028e-11,0,0.0
110226,0,1.00793e-9,0,0.0
110231,1,2.17919e-12,105,570.184
110233,1,1.13124e-9,2076,6802.27
110234,0,1.76411e-12,0,0.0
110237,0,1.17002e-11,0,0.0
110238,0,1.37572e-9,0,0.0
110239,0,3.29473e-12,0,0.0
110240,1,3.56713e-11,269,1299.4
110242,0,5.42568e-10,0,0.0
110244,1,5.37353e-10,2439,14730.5
110247,0,5.03394e-10,0,0.0
110248,1,1.10257e-11,424,1462.01
110249,1,2.58131e-11,1190,12816.7
110250,1,6.08333e-10,162,383.328
110251,0,9.335e-10,0,0.0
110255,1,2.67211e-12,159,566.619
110256,1,3.38294e-11,25,39.1005
110258,1,4.48291e-11,32,122.861
110260,1,1.45799e-11,105,296.552
110262,0,7.41704e-11,0,0.0
110269,1,4.28056e-12,357,1523.44
110271,0,7.7984e-10,0,0.0
110272,1,1.61857e-9,1069,3090.93
110275,0,1.00196e-9,0,0.0
110276,1,3.83953e-11,2389,17321.8
110277,1,1.25864e-9,1097,2869.62
110278,1,5.62959e-12,182,364.626
110281,0,1.03486e-10,0,0.0
110282,0,8.27549e-10,0,0.0
110284,1,1.71845e-10,4019,77050.2
110286,1,1.21526e-9,163,541.069
110288,1,4.09377e-11,455,789.464
110289,1,7.8451e-11,130,37813.4
110294,0,3.74095e-11,0,0.0
110297,1,1.79005e-12,102,308.334
110300,0,9.62218e-11,0,0.0
110302,1,5.94998e-10,395,1316.37
110304,1,6.40294e-10,361,931.234
110305,1,9.42657e-10,199,479.512
110306,0,3.66053e-11,0,0.0
110310,1,8.61301e-12,141,362.135
110312,1,4.68605e-10,2358,5446.01
110314,1,1.0359e-10,156,461.947
110316,0,2.42876e-10,0,0.0
110317,1,1.23228e-11,68,212.582
110320,1,9.57756e-10,975,1436.29
110322,1,1.58951e-10,122,676.616
110323,1,8.74791e-11,559,867.43
110325,1,5.30971e-10,816,3647.21
110327,1,3.68388e-12,50,136.87
110328,1,1.74128e-10,101,580.645
110330,0,4.48162e-10,0,0.0
110332,1,3.29473e-12,74,207.124
110334,1,6.95007e-11,301,942.146
110335,1,6.04804e-10,102,238.657
110340,0,4.27797e-11,0,0.0
110341,1,2.32655e-10,686,3661.41
