ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
100000,1,8.63376e-10,171,195.429
100001,1,1.31789e-10,294,855.589
100002,1,4.87725e-12,140,486.113
100003,1,1.44016e-9,1500,10467.4
100004,0,2.19735e-11,0,0.0
100005,0,2.80493e-10,0,0.0
100006,0,2.26143e-10,0,0.0
100007,1,1.46681e-10,213,829.363
100008,1,5.51284e-11,812,9446.66
100009,0,1.60817e-9,0,0.0
100010,1,1.86529e-11,109,563.887
100011,1,1.89668e-10,557,1507.82
100012,0,1.34903e-11,0,0.0
100013,1,1.68628e-12,131,253.377
100014,1,8.32504e-11,542,2767.35
100015,0,1.6305e-10,0,0.0
100016,0,6.41046e-11,0,0.0
100017,0,1.59678e-10,0,0.0
100018,1,2.43473e-10,1472,4906.92
100019,1,1.51604e-9,336,1544.0
100020,1,1.19659e-9,1276,14633.2
100021,1,4.898e-11,140,1601.11
100022,1,1.10257e-11,18,29.282
100023,0,1.7693e-11,0,0.0
100024,1,2.57819e-10,833,2026.43
100025,1,3.39072e-11,573,3029.79
100026,0,1.03452e-9,0,0.0
100027,1,1.4528e-11,47,84.9026
100028,0,6.58947e-12,0,0.0
100029,1,1.76868e-9,881,3139.61
100030,1,4.09896e-12,35,53.6809
100031,1,1.60975e-10,1179,3097.28
100032,1,1.0547e-9,1079,4403.54
100033,1,7.73095e-12,65,140.596
100034,1,4.26707e-10,36,69.0881
100035,1,2.57871e-10,176,646.082
100036,1,1.10496e-9,319,1668.94
100037,0,2.65058e-10,0,0.0
100038,1,3.10016e-11,145,317.575
100039,1,1.68836e-10,968,3290.94
100040,1,1.8505e-10,1032,3769.97
100041,1,1.34384e-11,200,1587.11
100042,0,1.81683e-9,0,0.0
100043,1,7.3937e-12,127,298.947
100044,0,3.4299e-10,0,0.0
100045,0,7.69178e-10,0,0.0
100046,1,9.85567e-11,957,3856.97
100047,1,7.28993e-12,390,2121.78
100048,1,7.28993e-12,51,150.889
100049,0,4.16641e-10,0,0.0
100050,1,2.30891e-12,78,375.777
