ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
100000,1,8.63376e-10,171,195.429
100001,1,1.31789e-10,294,855.589
100005,0,2.80493e-10,0,0.0
100006,0,2.26143e-10,0,0.0
100007,1,1.46681e-10,213,829.363
100009,0,1.60817e-9,0,0.0
100011,1,1.89668e-10,557,1507.82
100015,0,1.6305e-10,0,0.0
100016,0,6.41046e-11,0,0.0
100017,0,1.59678e-10,0,0.0
100018,1,2.43473e-10,1472,4906.92
100021,1,4.898e-11,140,1601.11
100022,1,1.10257e-11,18,29.282
100024,1,2.57819e-10,833,2026.43
100025,1,3.39072e-11,573,3029.79
100028,0,6.58947e-12,0,0.0
100029,1,1.76868e-9,881,3139.61
100032,1,1.0547e-9,1079,4403.54
100035,1,2.57871e-10,176,646.082
100037,0,2.65058e-10,0,0.0
100038,1,3.10016e-11,145,317.575
100040,1,1.8505e-10,1032,3769.97
100042,0,1.81683e-9,0,0.0
100044,0,3.4299e-10,0,0.0
100046,1,9.85567e-11,957,3856.97
100048,1,7.28993e-12,51,150.889
100052,1,1.80736e-9,38,164.357
100055,0,7.62718e-12,0,0.0
100056,1,2.82776e-12,75,166.014
100059,0,3.58789e-11,0,0.0
100060,1,2.91597e-11,21,68.8341
100061,1,5.28195e-10,789,2355.98
100062,0,2.07127e-10,0,0.0
100063,0,4.22919e-10,0,0.0
100066,1,1.00399e-11,79,175.282
100067,0,2.10137e-12,0,0.0
100069,0,1.48548e-10,0,0.0
100070,1,5.20542e-10,669,1400.94
100071,1,2.38674e-12,79,303.8
100073,1,6.22627e-12,149,732.787
100074,1,1.43049e-10,922,2488.03
100076,1,4.74753e-12,194,579.352
100077,1,7.0746e-11,398,1331.91
100081,1,1.04264e-10,15,37.6966
100082,0,1.96906e-11,0,0.0
100083,1,2.04948e-11,269,827.894
100087,1,4.45775e-10,1694,4256.82
100091,1,1.2507e-9,949,1689.79
100093,1,4.80383e-10,70,200.617
100096,0,1.30363e-10,0,0.0
100098,1,2.11019e-10,332,1628.32
